Facility name,City,Adequately immunized %,Exempt %,Conditionally enrolled %,Extended conditionally enrolled %,Out of compliance %
Dilworth School,Salt Lake City,100.0,0.0,0.0,0.0,0.0
Edison School,Salt Lake City,78.2,3.6,18.2,0.0,0.0
Emerson School,Salt Lake City,94.2,5.8,0.0,0.0,0.0
Ensign School,Salt Lake City,89.4,10.6,0.0,0.0,0.0
,,,,,,
Ashman School,Richfield,86.9,13.1,0.0,0.0,0.0
Indian Hills School,Salt Lake City,95.6,4.4,0.0,0.0,0.0
Monroe School,Monroe,83.1,16.9,0.0,0.0,0.0
Liberty School,Salt Lake City,98.4,0.0,0.0,0.0,1.6
Salina School,Salina,80.0,20.0,0.0,0.0,0.0
Meadowlark School (Dup Record 95999 Deleted),Salt Lake City,69.8,1.9,0.0,0.0,28.3
Newman School,Salt Lake City,100.0,0.0,0.0,0.0,0.0
Nibley Park School,Salt Lake City,93.4,4.9,1.6,0.0,0.0
Parkview School,Salt Lake City,76.4,0.0,23.6,0.0,0.0
J E Cosgriff Memorial Catholic School,Salt Lake City,100.0,0.0,0.0,0.0,0.0
,,,,,,
Grantsville School,Grantsville,91.2,5.0,0.0,3.8,0.0
Heber Valley School,Heber City,91.8,8.2,0.0,0.0,0.0
Midway School,Midway,86.9,13.1,0.0,0.0,0.0
Laverkin School,La Verkin,60.7,21.4,0.0,14.3,3.6
Franklin School,Provo,91.1,0.0,8.9,0.0,0.0
Amelia Earhart School,Provo,89.1,1.8,7.3,0.0,1.8
Heritage School,Saint George,89.0,11.0,0.0,0.0,0.0
Edgemont School,Provo,76.9,17.3,0.0,5.8,0.0
Provost School,Provo,91.1,5.4,0.0,3.6,0.0
Adams School,Logan,96.2,3.8,0.0,0.0,0.0
,,,,,,
Ellis School,Logan,82.8,10.9,0.0,6.2,0.0
Wilson School,Logan,86.8,9.4,0.0,3.8,0.0
Woodruff School,Logan,98.9,1.1,0.0,0.0,0.0
Timpanogos School,Provo,82.4,3.3,13.2,1.1,0.0
Wasatch School,Provo,85.7,7.9,0.0,6.3,0.0
Loa School,Loa,94.7,0.0,0.0,0.0,5.3
Grant School,Murray,90.0,10.0,0.0,0.0,0.0
Valley School,Eden,81.0,19.0,0.0,0.0,0.0
Horizon School,Murray,93.3,4.4,0.0,2.2,0.0
Liberty School,Murray,81.8,9.1,0.0,3.0,6.1
,,,,,,
Valley View School,Roy,92.1,2.6,2.6,0.0,2.6
Washington Terrace School,Ogden,86.9,3.3,1.6,8.2,0.0
West Weber School,Ogden,94.3,5.7,0.0,0.0,0.0
Hobble Creek School,Mapleton,79.2,20.8,0.0,0.0,0.0
Timpanogos Academy,Lindon,86.9,13.1,0.0,0.0,0.0
Backman School,Salt Lake City,97.4,2.6,0.0,0.0,0.0
Beacon Heights School,Salt Lake City,97.7,0.0,0.0,0.0,0.0
Franklin School,Salt Lake City,72.3,0.0,27.7,0.0,0.0
Mountain View School,Salt Lake City,92.9,0.0,7.1,0.0,0.0
Park City Day School,Park City,93.8,6.2,0.0,0.0,0.0
,,,,,,
Madeleine Choir School,Salt Lake City,100.0,0.0,0.0,0.0,0.0
Highland Park School,Salt Lake City,95.2,4.8,0.0,0.0,0.0
Rose Park School,Salt Lake City,81.1,1.9,0.0,17.0,0.0
Uintah School,Salt Lake City,93.0,7.0,0.0,0.0,0.0
Wasatch School,Salt Lake City,93.7,6.3,0.0,0.0,0.0
Washington School,Salt Lake City,95.3,2.3,0.0,0.0,0.0
Nibley School,Nibley,93.7,4.8,0.0,0.0,1.6
Herriman School,Herriman,87.8,12.2,0.0,0.0,0.0
The Mcgillis School,Salt Lake City,100.0,0.0,0.0,0.0,0.0
North Star School,Salt Lake City,91.5,0.0,0.0,0.0,8.5
,,,,,,
John Hancock Charter School Pleasant Grove,Pleasant Grove,86.4,13.6,0.0,0.0,0.0
Thomas Edison,North Logan,85.1,14.9,0.0,0.0,0.0
Pinnacle Canyon Academy,Price,85.7,9.5,0.0,4.8,0.0
Saint John The Baptist Elementary,Draper,94.6,1.4,2.7,1.4,0.0
Layton Christian Academy,Layton,86.4,0.0,0.0,13.6,0.0
West Valley School,West Valley City,97.5,2.5,0.0,0.0,0.0
Saint Joseph Catholic Elementary School,Ogden,100.0,0.0,0.0,0.0,0.0
Navigator Pointe Academy,West Jordan,92.1,7.9,0.0,0.0,0.0
Wasatch Peak Academy,North Salt Lake,91.5,8.5,0.0,0.0,0.0
North Star Academy,Bluffdale,86.0,14.0,0.0,0.0,0.0
,,,,,,
Arrowhead School,Santa Clara,72.9,22.0,0.0,5.1,0.0
Odyssey Charter School,American Fork,82.8,17.2,0.0,0.0,0.0
Middle Canyon School,Tooele,92.1,7.9,0.0,0.0,0.0
Hillcrest School,Logan,92.0,6.7,0.0,1.3,0.0
Mcmillan School,Murray,93.3,6.7,0.0,0.0,0.0
Longview School,Murray,92.5,5.0,0.0,2.5,0.0
Foothills School,Riverton,87.5,0.0,0.0,8.0,4.5
Parkside School,Murray,83.3,4.2,8.3,0.0,4.2
Viewmont School,Murray,87.1,11.3,0.0,1.6,0.0
Nebo View School,Nephi,72.1,14.8,0.0,6.6,6.6
,,,,,,
Ranches Academy,Eagle Mountain,84.9,15.1,0.0,0.0,0.0
Copper Canyon School,West Jordan,83.3,8.3,0.0,8.3,0.0
Copper Canyon School,Tooele,94.4,2.8,0.0,2.8,0.0
Riverside School,Washington,80.2,19.8,0.0,0.0,0.0
Davinci Academy,Ogden,79.6,20.4,0.0,0.0,0.0
West Haven School,West Haven,91.2,8.8,0.0,0.0,0.0
Bridger School,Logan,97.5,2.5,0.0,0.0,0.0
North Davis Preparatory Academy,Layton,95.7,4.3,0.0,0.0,0.0
Reagan Academy,Springville,96.2,3.8,0.0,0.0,0.0
American Leadership Academy,Spanish Fork,81.2,17.9,0.0,0.0,0.9
,,,,,,
Beehive Science & Technology Academy K-6,Sandy,92.4,7.6,0.0,0.0,0.0
Riverview School,Spanish Fork,87.0,10.2,2.8,0.0,0.0
Butterfield Canyon School,Herriman,82.9,6.6,0.0,10.5,0.0
Snow Springs School,Lehi,94.1,5.9,0.0,0.0,0.0
Westfield School,Alpine,80.0,18.0,0.0,2.0,0.0
Buffalo Point School,Syracuse,84.5,13.8,0.0,1.7,0.0
Walden School Of Liberal Arts,Provo,72.4,17.2,0.0,6.9,3.4
Canyon Crest School,Provo,92.5,3.8,1.9,1.9,0.0
Provo Peaks School,Provo,80.5,5.7,1.1,8.0,4.6
Parkside School,Clinton,93.6,2.1,0.0,0.0,4.3
,,,,,,
Coral Canyon School,Washington,77.5,19.7,0.0,2.8,0.0
