School,City,Adequately immunized %,Exempt %,District/LEA,Address,Zip,Map,school_type
mountain shadows school,west jordan,85.0,1.2,Jordan District,5255 W 7000 S,84084,"geo:40.623139,-112.016305",Private
oakcrest school,west jordan,90.9,5.2,Jordan District,8462 S HILLTOP OAK DR,84088,"geo:40.597638,-112.047064",Private
welby school,south jordan,89.0,6.8,Jordan District,4130 W 9580 S,84009,"geo:40.578091,-111.989585",Private
monticello academy highbury capmpus,west valley city,90.1,7.4,,,,,Public
mt pleasant school,mt pleasant,77.8,20.4,,,,,Public
parleys park school,park city,94.1,5.9,,,,,Public
thomas edison south,nibley,88.2,11.8,,,,,Public
lapoint school,la point,81.0,14.3,,,,,Public
venture academy,marriott-slaterville city,78.3,21.7,,,,,Public
bloomington hills school,st george,85.1,12.8,Washington District,919 E BRIGHAM RD,84790,"geo:37.054947,-113.56415",Private
bloomington school,st george,81.0,19.0,Washington District,425 MAN OF WAR ROAD,84790,"geo:37.051506,-113.592776",Private
diamond valley school,st george,70.5,29.5,Washington District,1411 W DIAMOND VALLEY DR,84770,"geo:37.249284,-113.614692",Private
paradise canyon elementary,st george,84.3,7.1,,,,,Public
little valley school,st george,83.9,16.1,Washington District,2330 E HORSEMAN PARK DR,84790,"geo:37.055597,-113.531378",Private
panorama school,st george,75.8,16.7,Washington District,301 N 2200 E,84790,"geo:37.113546,-113.537548",Private
sandstone school,st george,81.2,13.0,Washington District,850 N 2450 E,84790,"geo:37.122327,-113.530713",Private
country view school,west haven city,95.3,4.7,,,,,Public
plain city school,plain city,98.9,1.1,Weber District,2335 N 3600 W,84404,"geo:41.302446,-112.085337",Private
bonneville school,ogden,88.9,2.5,,,,,Public
heritage school,ogden,94.8,2.6,Ogden City District,373 S 150 W,84404,"geo:41.276199,-111.970691",Private
odyssey school,ogden,80.3,1.6,Ogden City District,375 GODDARD STREET,84403,"geo:41.204808,-111.958305",Private
legacy school,st george,87.7,10.4,Washington District,280 E 100 S,84770,"geo:37.1064744,-113.5795634",Private
heritage school,nibley,90.8,9.2,Cache District,925 W 3200 S,84321,"geo:41.675825,-111.856046",Private
mcpolin school,park city,86.2,10.3,Park City District,2270 KEARNS BLVD,84098,"geo:40.669543,-111.492915",Private
belmont school,lehi,83.7,13.0,Alpine District,4051 North Maple Hollow Blvd,84043,"geo:40.441109,-111.818745",Private
brookhaven school,eagle mountain,90.8,4.9,Alpine District,7082 North Seedling Drive,84005,"geo:40.290507,-112.043852",Private
liberty hills elementary,lehi,83.0,11.9,Alpine District,3501 West 2450 North,84048,"geo:40.758148,-111.8835328",Private
bonneville academy,stansbury park,71.0,9.7,Bonneville Academy,800 W Montauk Lane,84074,"geo:40.6376831,-112.3252333",Public Charter
cedar ridge school,hyde park,92.0,8.0,Cache District,65 N 200 W,84318,"geo:41.80089,-111.825234",Private
midvale school,midvale,83.2,1.1,Canyons District,7830 Chapel Street,84047,"geo:40.6081112,-111.9019552",Private
bastian elementary,herriman,91.2,3.9,,,,,Public
golden fields school,south jordan,82.8,13.1,Jordan District,10252 S. Split Rock Drive,84009,"geo:40.565015,-112.0158947",Private
mountain point elementary,bluffdale,87.7,10.7,Jordan District,15345 S 1200 W,84065,"geo:40.48633,-111.92481",Private
ridge view elementary,herriman,84.8,7.9,Jordan District,14120 S Greenford Ln.,84096,"geo:40.492967,-111.993222",Private
apple valley school,santaquin,90.4,9.6,Nebo District,105 E 770 N,84655,"geo:39.988639,-111.782986",Private
the center for creativity innovation and discovery,providence,88.0,12.0,The Center for Creativity Innovation and Discovery,PO Box 693,84332,"geo:41.7147965,-111.8225481",Public Charter
majestic fields school,washington,74.0,25.0,Washington District,675 East Majestic Dr.,84780,"geo:37.08974,-113.49786",Private
hidden hollow school,eagle mountain,85.6,14.4,Alpine District,7447 North Hidden Valley Parkway,84005,"geo:40.361974,-111.984207",Private
mountain trails school,eagle mountain,83.5,11.0,Alpine District,3951 NORTH WOOD ROAD,84005,"geo:40.308272,-112.032103",Private
american preparatory academy draper #2,draper,86.9,9.2,,,,,Public
ascent academies of utah farmington,farmington,89.7,10.3,Ascent Academies of Utah,22 South 650 West,84025,"geo:41.0604571,-111.9782869",Public Charter
canyon grove academy,pleasant grove,13.5,13.5,Canyon Grove Academy,588 W 3300 N,84062,"geo:40.399474,-111.750592",Public Charter
butler school,salt lake city,95.8,4.2,Canyons District,2700 E 7000 S,84121,"geo:40.623271,-111.816011",Private
esperanza school,west valley city,98.9,1.1,Esperanza School,4956 W 3500 S,84120,"geo:40.6968,-112.00702",Public Charter
gateway preparatory academy,enoch,56.5,43.5,Gateway Preparatory Academy,201 E THOROUGHBRED WAY,84721,"geo:37.746639,-113.064795",Public Charter
diamond ridge school,salt lake city,95.5,1.5,Granite District,6034 W MILL VALLEY LANE,84118,"geo:40.635632,-112.034955",Private
promontory school of expeditionary learning,perry,89.1,10.9,Promontory School of Expeditionary Learning,1051 W 2700 S,84302,"geo:41.461481,-112.040094",Public Charter
rock canyon school,provo,81.1,17.0,Provo District,435 East 2320 North,84604,"geo:40.2646311,-111.6533449",Private
sunset view school,provo,88.1,9.0,Provo District,1520 West 600 South,84601,"geo:40.2257919,-111.6878379",Private
soldier hollow charter school,heber city,69.0,28.6,Soldier Hollow Charter School,3444 West 3000 South,84032,"geo:40.4714003,-111.4663796",Public Charter
stansbury park school,stansbury park,87.3,12.7,Tooele District,485 COUNTRY CLUB DR,84074,"geo:40.644873,-112.289566",Private
voyage academy,clinton,90.7,9.3,Voyage Academy,1891 N. 1500 W.,84015,"geo:41.1409892,-112.0548377",Public Charter
three falls school,hurricane,76.5,17.6,Washington District,789 S 700 W,84737,"geo:37.164223,-113.300252",Private
water canyon school,hildale,17.2,69.0,Washington District,250 W Newel Avenue,84784,"geo:37.0054425,-112.9668585",Private
centennial elementary,orem,84.2,12.6,Alpine District,450 S. 400 East,84097,"geo:40.7581398,-111.8835072",Private
ascent academies of utah west valley,west valley city,91.2,1.5,,,,,Public
ignite entrepreneurship academy,lehi,75.6,24.4,Ignite Entrepreneurship Academy,1650 West Traverse Terrace,84043,"geo:40.4370387,-111.8784933",Public Charter
leadership learning academy ogden,ogden,98.6,1.4,,,,,Public
old mill school,stansbury park,92.1,7.9,Tooele District,130 E Brigham Rd,84074,"geo:40.650893,-112.301576",Private
treeside charter school,provo,80.0,20.0,Treeside Charter School,34 E 1700 S Suite 132,84606,"geo:40.21126,-111.65789",Public Charter
daniels canyon school,heber city,83.6,8.2,Wasatch District,688 East Wheeler Rd,84032,"geo:40.478221,-111.402035",Private
orchard springs,pleasant view,95.1,3.3,Weber District,3300 N 975 W,84414,"geo:41.31797,-112.00037",Private
silver ridge elementary,farr west,93.8,6.2,Weber District,3340 North 3050 West,84404,"geo:41.32244,-112.053",Private
advantage arts academy,herriman,77.3,21.2,Advantage Arts Academy,6171 W. 11800 S,84096,"geo:40.53691,-112.03865",Public Charter
antelope canyon elementary,west jordan,91.3,8.7,Jordan District,8800 South 6400  West,84081,"geo:40.5813,-112.04393",Private
ascent academies of utah saratoga springs,saratoga springs,87.6,10.7,Ascent Academies of Utah,992 Chianti Street,84043,"geo:40.39183,-111.94227",Public Charter
aspen elementary,south jordan,86.8,8.3,Jordan District,11189 S WILLOW WALK DR,84009,"geo:39.098999,-111.878816",Private
bridge elementary school,roy,90.7,2.7,Bridge Elementary School,4824 S Midland Dr,84067,"geo:41.1758,-112.06633",Public Charter
carden memorial school,salt lake city,100.0,0.0,,,,,Public
challenger school (k-8) salt lake city,salt lake city,90.9,9.1,,,,,Public
challenger school (pk-8) lehi,lehi,88.7,11.3,,,,,Public
challenger school (pk-8) sandy,sand,85.5,5.3,,,,,Public
challenger school farmington,farmington,90.3,9.7,,,,,Public
challenger school holladay,holladay,80.0,20.0,,,,,Public
desert canyons elementary,st.george,86.1,13.9,,,,,Public
freedom preparatory academy washington,st.george,65.8,34.2,,,,,Public
glacier hills school,sandy,89.1,5.4,,,,,Public
golden spike elementary,brigham city,87.4,9.2,Box Elder District,730 East 300 North,84302,"geo:41.51723,-112.00467",Private
harbor point elementary,saratoga springs,85.1,11.5,Alpine District,4189 S Schooner Drive,84045,"geo:40.28682,-111.87249",Private
ivy hall academy,provo,45.2,12.9,,,,,Public
kids village,orem,83.9,8.9,,,,,Public
monticello academy west point,west point,83.8,16.2,Monticello Academy,3110 W 300 N,84015,"geo:41.11866,-112.08556",Public Charter
mountain sunrise academy,saratoga springs,58.8,41.2,Mountain Sunrise Academy,1802 East 145 North,84043,"geo:40.36502,-111.86591",Public Charter
oak leaf elementary,herriman,89.7,8.8,Jordan District,6935 W Silver Sky Drive,84096,"geo:40.51993,-112.03538",Private
parkside elementary,orem,93.1,1.1,Alpine District,668 W 150 North,84057,"geo:40.30004,-111.71156",Private
prince of peace lutheran school,taylorsville,94.1,5.9,,,,,Public
silver lake elementary,eagle mountain,84.5,15.5,Alpine District,5069 Golden Eagle Road,84005,"geo:40.350111,-111.96156",Private
south mesa elementary,st.george,73.0,24.3,,,,,Public
sunburst school,layton,90.2,7.3,Davis District,2504 W Sunburst Drive,84041,"geo:41.06016,-112.01109",Private
trailside elementary,vineyard,86.1,7.9,Alpine District,452 N Vineyard Loop Road,84058,"geo:40.30451,-111.74758",Private
twenty wells elementary,grantsville,94.0,6.0,Tooele District,636 E Nygreen,84029,"geo:40.5783,-112.43632",Private
wallace stegner academy west valley,west valley,97.4,2.6,,,,,Public
american heritage school salt lake city campus,salt lake city,77.8,11.1,,,,,Public
challenger school west jordan,west jordan,100.0,0.0,,,,,Public
desert sky elementary,eagle mountain,89.8,8.5,,,,,Public
john hancock charter school eagle mountain,eagle mountain,78.9,18.7,,,,,Public
byu child & family studies laboratory,provo,81.1,2.7,,,,,Public
children's discovery,salt lake,81.0,19.0,,,,,Public
island view school,west point,91.0,7.2,,,,,Public
utah peak academy,junction,50.0,45.0,Piute District,PO Box 69,84740,"geo:38.245546,-112.221783",Private
wallace stegner academy kearns,west valley city,95.9,4.1,,,,,Public
haven bay,west haven,89.8,8.5,,,,,Public
american principles academy,cedar,54.2,37.5,,,,,Public
