School,City,Adequately immunized %,Exempt %,District/LEA,Address,Zip,Map,school_type
morgan school,morgan,85.7,10.2,Morgan District,344 E YOUNG ST,84050,"geo:41.037133,-111.67131",Private
brockbank school,spanish fork,94.7,5.3,Nebo District,340 W 500 N,84660,"geo:40.116761,-111.660692",Private
brookside school,springville,64.4,23.7,Nebo District,750 E 400 S,84663,"geo:40.16091,-111.597161",Private
canyon school,spanish fork,91.4,5.7,Nebo District,1492 E 1240 S,84660,"geo:40.092565,-111.62848",Private
crescent school,sandy,80.6,6.9,Canyons District,11100 S 230 E,84070,"geo:40.549559,-111.885587",Private
goshen school,goshen,82.4,11.8,Nebo District,60 N CENTER,84633,"geo:39.954012,-111.899291",Private
draper school,draper,86.8,11.0,Canyons District,1080 E 12660 S,84020,"geo:40.520741,-111.86102",Private
westside school,springville,90.7,9.3,Nebo District,740 W CENTER,84663,"geo:40.167447,-111.623998",Private
wilson school,payson,87.5,12.5,Nebo District,590 W 500 S,84651,"geo:40.037031,-111.741085",Private
east midvale school,midvale,75.0,2.5,Canyons District,6990 S 300 E,84047,"geo:40.624986,-111.882987",Private
riverton school,riverton,92.2,7.8,Jordan District,13150 S 1830 W,84065,"geo:40.512175,-111.944324",Private
riverside school,west jordan,79.7,2.7,Jordan District,8737 S 1220 W,84088,"geo:40.592682,-111.926025",Private
quail hollow school,sandy,91.1,8.9,Canyons District,2625 E NEWCASTLE DR,84093,"geo:40.587126,-111.816478",Private
park lane school,sandy,88.6,11.4,Canyons District,9955 S 2300 E,84092,"geo:40.570262,-111.823506",Private
moroni school,moroni,98.0,0.0,North Sanpete District,PO BOX 279 98 N 200 W,84646,"geo:39.52737,-111.586688",Private
north summit school,coalville,70.0,26.0,North Summit District,BOX 497 240 S BEACON HILL DR,84017,"geo:40.915114,-111.397472",Private
montezuma creek school,montezuma creek,88.9,0.0,San Juan District,BOX 630 STATE HWY #262,84534,"geo:37.26067,-109.30469",Private
ephraim school,ephraim,78.8,15.0,South Sanpete District,570 S 300 EAST,84627,"geo:39.357049,-111.586197",Private
monticello school,monticello,66.7,24.2,San Juan District,P O BOX 189 197 N 200 W,84535,"geo:37.875393,-109.346993",Private
mona school,mona,66.7,29.2,Juab District,260 E 200 S,84645,"geo:39.813135,-111.850431",Private
northlake school,tooele,84.6,6.2,Tooele District,268 N COLEMAN,84074,"geo:40.53548,-112.312561",Private
anna smith school,wendover,100.0,0.0,Tooele District,P O BOX 879 731 N ARIA,84083,"geo:40.741635,-114.043149",Private
gunnison valley school,gunnison,83.3,0.0,South Sanpete District,PO BOX 369 550 S 100 E,84634,"geo:39.139133,-111.820379",Private
manti school,manti,75.0,19.6,South Sanpete District,150 W 100 S,84642,"geo:39.264474,-111.63978",Private
red cliff school,nephi,81.8,12.1,Juab District,1199 S MAIN,84648,"geo:39.692922,-111.83583",Private
west school,tooele,94.6,2.7,Tooele District,451 W 300 S,84074,"geo:40.524765,-112.310938",Private
south summit school,kamas,82.9,13.4,South Summit District,535 E 300 S,84036,"geo:40.638896,-111.26908",Private
kanab school,kanab,78.5,17.7,Kane District,41 W 100 N,84741,"geo:37.050165,-112.52957",Private
valley school,orderville,76.5,23.5,Kane District,P O BOX 129 110 E STATE,84758,"geo:37.275285,-112.636196",Private
maeser school,vernal,90.5,9.5,Uintah District,2670 W 1000 N,84078,"geo:40.470942,-109.579752",Private
naples school,naples,88.6,7.1,,,,,Public
ashley school,vernal,82.4,10.8,Uintah District,350 N 1150 W,84078,"geo:40.460715,-109.549978",Private
davis school,vernal,83.1,13.0,Uintah District,4101 S 2500 E,84078,"geo:40.396841,-109.478774",Private
discovery school,vernal,82.4,14.8,Uintah District,650 W 1200 S,84078,"geo:40.438059,-109.541226",Private
jr smith school,heber city,88.6,5.7,,,,,Public
larsen school,spanish fork,90.8,9.2,Nebo District,1175 E FLONETTE DRIVE,84660,"geo:40.106605,-111.633941",Private
mapleton school,mapleton,80.5,15.6,Nebo District,120 W MAPLE,84664,"geo:40.130839,-111.580528",Private
enterprise school,enterprise,60.8,37.3,Washington District,P O BOX 459 216 S 100 E,84725,"geo:37.56996,-113.719828",Private
mt loafer school,salem,83.9,16.1,,,,,Public
park school,spanish fork,89.7,8.0,Nebo District,90 N 600 E,84660,"geo:40.110732,-111.643298",Private
park view school,payson,87.9,8.6,Nebo District,360 S 100 E,84651,"geo:40.038508,-111.731133",Private
rees school,spanish fork,90.3,8.1,Nebo District,574 N REES AVE,84660,"geo:40.117092,-111.629024",Private
hurricane school,hurricane,76.6,20.8,Washington District,948 W 325 N,84737,"geo:37.175554,-113.289396",Private
red mountain school,ivins,75.7,21.4,Washington District,263 E 200 S,84738,"geo:37.165537,-113.673467",Private
santa clara school,santa clara,80.4,19.6,Washington District,2950 W CRESTVIEW DRIVE,84765,"geo:37.136938,-113.652227",Private
sage creek school,springville,94.2,5.8,Nebo District,1050 S 700 E,84663,"geo:40.150904,-111.598856",Private
salem school,salem,84.1,12.5,Nebo District,140 W 100 S,84653,"geo:40.053559,-111.676717",Private
santaquin school,santaquin,86.3,12.6,Nebo District,25 S 400 W,84655,"geo:39.974236,-111.793948",Private
taylor school,payson,85.5,10.9,Nebo District,92 S 500 W,84651,"geo:40.043106,-111.740341",Private
bates school,ogden,92.0,6.7,Weber District,850 E 3100 N,84414,"geo:41.318005,-111.953604",Private
washington school,washington,81.8,18.2,Washington District,300 N 300 E,84780,"geo:37.13586,-113.504127",Private
spring city school,spring city,94.1,5.9,North Sanpete District,100 N 453 E P O BOX 159,84662,"geo:39.48007,-111.487917",Private
h guy child school,ogden,82.1,12.8,Weber District,655 E 5500 S,84405,"geo:41.162317,-111.964617",Private
green acres school,ogden,91.3,8.7,Weber District,640 E 1900 N,84414,"geo:41.293242,-111.960322",Private
hooper school,hooper,90.5,4.8,Weber District,5500 S 5900 W,84315,"geo:41.164569,-112.121163",Private
farr west school,ogden,87.2,12.8,Weber District,2190 W 2700 N,84404,"geo:41.307669,-112.032611",Private
kanesville school,west haven,96.0,3.0,Weber District,3112 S 3500 W,84401,"geo:41.208154,-112.061886",Private
lakeview school,roy,91.4,6.9,Weber District,2025 W 5000 S,84067,"geo:41.173164,-112.029529",Private
majestic school,ogden,91.6,8.4,Weber District,425 W 2550 N,84414,"geo:41.303144,-111.987404",Private
jeremy ranch school,park city,91.4,6.9,Park City District,3050 RASMUSSEN RD,84098,"geo:40.753388,-111.568192",Private
lomond view school,ogden,83.8,13.5,Weber District,3644 N 900 W,84414,"geo:41.324028,-111.997569",Private
pioneer school,ogden,93.2,6.8,Weber District,250 N 1600 W,84404,"geo:41.264233,-112.017498",Private
midland school,roy,90.2,6.6,Weber District,3100 W 4800 S,84067,"geo:41.177198,-112.053659",Private
municipal school,roy,95.2,4.8,Weber District,5775 S 2200 W,84067,"geo:41.158132,-112.034009",Private
north ogden school,ogden,83.6,16.4,Weber District,530 E 2650 N,84414,"geo:41.308115,-111.965825",Private
riverdale school,ogden,93.4,6.6,Weber District,1160 W 4400 S,84405,"geo:41.183473,-112.007237",Private
roosevelt school,ogden,91.3,2.2,Weber District,190 W 5100 S,84405,"geo:41.17146,-111.98054",Private
roy school,roy,88.2,11.8,Weber District,2888 W 5600 S,84067,"geo:41.162601,-112.049248",Private
uintah school,ogden,93.1,5.6,Weber District,6115 S 2250 E,84403,"geo:41.153194,-111.925203",Private
bonneville school,salt lake city,98.2,1.8,Salt Lake District,1145 S 1900 E,84108,"geo:40.744169,-111.835828",Private
north park school,roy,86.8,7.4,Weber District,4046 S 2175 W,84067,"geo:41.186591,-112.031213",Private
dilworth school,salt lake city,100.0,0.0,Salt Lake District,1953 S 2100 E,84108,"geo:40.728237,-111.829868",Private
edison school,salt lake city,78.2,3.6,Salt Lake District,430 E CHEYENNE,84104,"geo:40.75924,-111.934828",Private
emerson school,salt lake city,94.2,5.8,Salt Lake District,1017 E HARRISON AVENUE,84105,"geo:40.74051,-111.861728",Private
ensign school,salt lake city,89.4,10.6,Salt Lake District,775 12TH AVE,84103,"geo:40.783012,-111.865888",Private
ashman school,richfield,86.9,13.1,Sevier District,70 N 200 W,84701,"geo:38.768982,-112.087476",Private
indian hills school,salt lake city,95.6,4.4,Salt Lake District,2496 E SAINT MARYS DR,84108,"geo:40.739918,-111.817665",Private
monroe school,monroe,83.1,16.9,Sevier District,40 W CENTER ST,84754,"geo:38.632303,-112.122771",Private
liberty school,salt lake city,98.4,0.0,Salt Lake District,1090 S ROBERTA ST,84111,"geo:40.745232,-111.884383",Private
salina school,salina,80.0,20.0,Sevier District,210 W 300 N,84654,"geo:38.962184,-111.86366",Private
meadowlark school (dup record 95999 deleted),salt lake city,69.8,1.9,,,,,Public
newman school,salt lake city,100.0,0.0,Salt Lake District,1269 N COLORADO ST,84116,"geo:40.796862,-111.932299",Private
nibley park school,salt lake city,93.4,4.9,Salt Lake District,2785 S 800 E,84106,"geo:40.709851,-111.866747",Private
parkview school,salt lake city,76.4,0.0,Salt Lake District,970 S EMERY ST,84104,"geo:40.748402,-111.925564",Private
j e cosgriff memorial catholic school,salt lake city,100.0,0.0,,,,,Public
grantsville school,grantsville,91.2,5.0,Tooele District,50 S PARK ST,84029,"geo:40.599364,-112.468246",Private
heber valley school,heber city,91.8,8.2,Wasatch District,730 S 600 W,84032,"geo:40.498684,-111.424478",Private
midway school,midway,86.9,13.1,Wasatch District,225 S 100 E,84049,"geo:40.508401,-111.469508",Private
laverkin school,la verkin,60.7,21.4,,,,,Public
franklin school,provo,91.1,0.0,Provo District,350 S 600 W,84601,"geo:40.229059,-111.669882",Private
amelia earhart school,provo,89.1,1.8,Provo District,2585 W 200 S,84601,"geo:40.230515,-111.704477",Private
heritage school,saint george,89.0,11.0,Washington District,747 E RIVERSIDE DR,84790,"geo:39.659941,-113.660143",Private
edgemont school,provo,76.9,17.3,Provo District,566 E 3650 N,84604,"geo:40.281805,-111.649379",Private
provost school,provo,91.1,5.4,Provo District,629 S 1000 E,84606,"geo:40.225442,-111.641228",Private
adams school,logan,96.2,3.8,Logan City District,415 E 500 N,84321,"geo:41.741406,-111.823644",Private
ellis school,logan,82.8,10.9,Logan City District,348 W 300 N,84321,"geo:41.736945,-111.84447",Private
wilson school,logan,86.8,9.4,Logan City District,89 S 500 E,84321,"geo:41.73015,-111.822991",Private
woodruff school,logan,98.9,1.1,Logan City District,950 W 600 S,84321,"geo:41.719795,-111.858762",Private
timpanogos school,provo,82.4,3.3,Provo District,449 N 500 W,84601,"geo:40.239787,-111.668663",Private
wasatch school,provo,85.7,7.9,Provo District,1080 N 900 E,84604,"geo:40.247852,-111.641746",Private
loa school,loa,94.7,0.0,Wayne District,P O BOX 130 50 S 100 E,84747,"geo:38.401322,-111.641036",Private
grant school,murray,90.0,10.0,Murray District,662 W 6140 S,84123,"geo:40.637595,-111.908942",Private
valley school,eden,81.0,19.0,Weber District,5821 E 1900 N,84310,"geo:41.29267,-111.807551",Private
horizon school,murray,93.3,4.4,Murray District,5180 S 700 W,84123,"geo:40.658925,-111.910642",Private
liberty school,murray,81.8,9.1,Murray District,140 W 6100 S,84107,"geo:40.638959,-111.895638",Private
valley view school,roy,92.1,2.6,Weber District,2465 W 4500 S,84067,"geo:41.180818,-112.038466",Private
washington terrace school,ogden,86.9,3.3,Weber District,20 E 4600 S,84405,"geo:41.179291,-111.976509",Private
west weber school,ogden,94.3,5.7,Weber District,4178 West 900 South,84404,"geo:41.2502,-112.008059",Private
hobble creek school,mapleton,79.2,20.8,Nebo District,1145 E 1200 N,84664,"geo:40.142078,-111.565576",Private
timpanogos academy,lindon,86.9,13.1,Timpanogos Academy,70 S TITAN TRAIL,84042,"geo:40.33677,-111.712967",Public Charter
backman school,salt lake city,97.4,2.6,Salt Lake District,601 N 1500 W,84116,"geo:40.78203,-111.934369",Private
beacon heights school,salt lake city,97.7,0.0,Salt Lake District,1850 S 2500 E,84108,"geo:40.730217,-111.820163",Private
franklin school,salt lake city,72.3,0.0,Salt Lake District,1115 W 300 S,84104,"geo:40.762225,-111.923325",Private
mountain view school,salt lake city,92.9,0.0,Salt Lake District,1380 S NAVAJO,84104,"geo:40.739201,-111.930235",Private
park city day school,park city,93.8,6.2,Park City Day School,3120 W PINEBROOK ROAD,84098,"geo:40.748478,-111.570937",Private
madeleine choir school,salt lake city,100.0,0.0,Utah Catholic Schools,205 FIRST AVENUE,84103,"geo:40.771141,-111.882744",Private
highland park school,salt lake city,95.2,4.8,Salt Lake District,1738 E 2700 S,84106,"geo:40.712571,-111.840853",Private
rose park school,salt lake city,81.1,1.9,Salt Lake District,1105 W 1000 N,84116,"geo:40.790517,-111.922755",Private
uintah school,salt lake city,93.0,7.0,Salt Lake District,1571 E 1300 S,84105,"geo:40.742151,-111.84594",Private
wasatch school,salt lake city,93.7,6.3,Salt Lake District,30 R Street,84103,"geo:40.779359,-111.895934",Private
washington school,salt lake city,95.3,2.3,Salt Lake District,420 N 200 W,84103,"geo:40.779359,-111.895934",Private
nibley school,nibley,93.7,4.8,Cache District,2545 S 660 W,84321,"geo:41.686504,-111.849867",Private
herriman school,herriman,87.8,12.2,Jordan District,13170 S 6000 W,84096,"geo:40.511715,-112.035014",Private
the mcgillis school,salt lake city,100.0,0.0,,,,,Public
north star school,salt lake city,91.5,0.0,Salt Lake District,1545 N MORTON DR,84116,"geo:40.803463,-111.947417",Private
john hancock charter school pleasant grove,pleasant grove,86.4,13.6,,,,,Public
thomas edison,north logan,85.1,14.9,Thomas Edison,180 E 2600 N,84341,"geo:41.779644,-111.829157",Public Charter
pinnacle canyon academy,price,85.7,9.5,,,,,Public
saint john the baptist elementary,draper,94.6,1.4,,,,,Public
